Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
50,2:03:31,Haymanot Alew,ETH,11.11.1997,3,Berlin,29.09.2024,Men,Marathon
51,2:03:32,Eliud Kipchoge,KEN,05.11.1984,1,Berlin,24.09.2017,Men,Marathon
51,2:17:25,Hawi Feysa,ETH,01.02.1999,1,Frankfurt,27.10.2024,Women,Marathon
52,2:17:26,Yalemzerf Yehualaw,ETH,03.08.1999,1,London,02.10.2022,Women,Marathon
52,2:03:34,Getaneh Molla,ETH,10.01.1994,1,Dubai,25.01.2019,Men,Marathon
53,2:17:29,Sheila Chepkirui,KEN,27.12.1990,3,Valencia,04.12.2022,Women,Marathon
53,2:03:36,Bashir Abdi,BEL,10.02.1989,1,Rotterdam,24.10.2021,Men,Marathon
53,2:03:36,Sisay Lemma,ETH,12.12.1990,3,Berlin,29.09.2019,Men,Marathon
54,2:17:32,Sutume Asefa Kebede,ETH,11.12.1994,2,Chicago,13.10.2024,Women,Marathon
55,2:03:37,Jacob Kiplimo,UGA,14.11.2000,2,London,27.04.2025,Men,Marathon
55,2:03:37,Tadese Takele,ETH,03.08.2002,1,Tokyo,01.03.2026,Men,Marathon
55,2:17:36,Tadu Teshome,ETH,09.06.2001,4,Valencia,04.12.2022,Women,Marathon
55,2:03:37,Stephen Kiprop,KEN,08.09.1999,4,Berlin,29.09.2024,Men,Marathon
55,2:03:37,Geofry Toroitich Kipchumba,KEN,01.02.2000,2,Tokyo,01.03.2026,Men,Marathon
56,2:17:37,Aynalem Desta,ETH,21.01.2004,1,Amsterdam,19.10.2025,Women,Marathon
57,2:17:39,Hawi Feysa,ETH,01.02.1999,3,Tokyo,01.03.2026,Women,Marathon
57,2:17:39,Sutume Asefa Kebede,ETH,11.12.1994,4,Tokyo,01.03.2026,Women,Marathon
59,2:17:41,Worknesh Degefa,ETH,28.10.1990,2,Dubai,25.01.2019,Women,Marathon
59,2:03:38,Patrick Makau Musyoki,KEN,02.03.1985,1,Berlin,25.09.2011,Men,Marathon
59,2:03:38,Alexander Munyao,KEN,10.09.1996,3,Tokyo,01.03.2026,Men,Marathon
60,2:17:42,Paula Radcliffe,GBR,17.12.1973,1,London,17.04.2005,Women,Marathon
61,2:17:43,Joyciline Jepkosgei,KEN,28.12.1993,1,London,03.10.2021,Women,Marathon
61,2:03:39,Tamirat Tola,ETH,11.08.1991,1,Amsterdam,17.10.2021,Men,Marathon
62,2:03:40,Herpasa Negasa,ETH,11.09.1993,2,Dubai,25.01.2019,Men,Marathon
62,2:17:45,Lonah Chemtai Salpeter,ISR,12.12.1988,1,Tokyo,01.03.2020,Women,Marathon
62,2:03:40,Tamirat Tola,ETH,11.08.1991,4,Valencia,04.12.2022,Men,Marathon
63,2:17:49,Sheila Chepkirui,KEN,27.12.1990,2,Berlin,24.09.2023,Women,Marathon
64,2:17:51,Irine Chepet Cheptai,KEN,04.02.1992,3,Chicago,13.10.2024,Women,Marathon
64,2:03:42,Wilson Kipsang Kiprotich,KEN,15.03.1982,1,Frankfurt,30.10.2011,Men,Marathon
65,2:03:44,Daniel Mateiko,KEN,04.08.1998,4,Tokyo,01.03.2026,Men,Marathon
65,2:17:55,Workenesh Edesa,ETH,11.09.1992,1,Hamburg,27.04.2025,Women,Marathon
66,2:03:45,Dennis Kimetto,KEN,22.04.1984,1,Chicago,13.10.2013,Men,Marathon
66,2:17:56,Bertukan Welde,ETH,10.05.2004,2,Amsterdam,19.10.2025,Women,Marathon
66,2:17:56,Tirunesh Dibaba,ETH,01.06.1985,2,London,23.04.2017,Women,Marathon
67,2:03:46,Guye Idemo Adola,ETH,20.10.1990,2,Berlin,24.09.2017,Men,Marathon
67,2:03:46,Amos Kipruto,KEN,16.09.1992,1,Hamburg,27.04.2025,Men,Marathon
68,2:17:57,Angela Tanui,KEN,27.07.1992,1,Amsterdam,17.10.2021,Women,Marathon
69,2:03:47,Bashir Abdi,BEL,10.02.1989,1,Rotterdam,16.04.2023,Men,Marathon
69,2:03:47,Morhad Amdouni,FRA,21.06.1988,2,Sevilla,18.02.2024,Men,Marathon
69,2:17:58,Ashete Bekere,ETH,17.04.1988,2,Tokyo,06.03.2022,Women,Marathon
69,2:17:58,Degitu Azimeraw,ETH,24.01.1999,2,London,03.10.2021,Women,Marathon
71,2:03:48,Dawit Wolde,ETH,19.05.1991,3,Valencia,03.12.2023,Men,Marathon
71,2:17:59,Hiwot Gebrekidan,ETH,11.05.1995,3,Valencia,03.12.2023,Women,Marathon
72,2:18:00,Rosemary Wanjiru,KEN,09.12.1994,2,Berlin,25.09.2022,Women,Marathon
72,2:03:50,Timothy Kiplagat,KEN,18.09.1993,2,Rotterdam,16.04.2023,Men,Marathon
73,2:03:51,Stanley Kipleting Biwott,KEN,21.04.1986,2,London,24.04.2016,Men,Marathon
73,2:03:51,Kinde Atanaw,ETH,15.04.1993,1,Valencia,01.12.2019,Men,Marathon
73,2:18:03,Magdalena Shauri,TAN,25.02.1996,3,Chicago,12.10.2025,Women,Marathon
73,2:18:03,Tigist Abayechew,ETH,22.02.1994,3,Berlin,25.09.2022,Women,Marathon
73,2:03:51,Deresa Geleta,ETH,14.01.1996,2,Tokyo,02.03.2025,Men,Marathon
75,2:18:04,Joan Chelimo Melly,ROU,10.11.1990,1,Seoul,17.04.2022,Women,Marathon
76,2:03:52,Emmanuel Mutai,KEN,12.10.1984,2,Chicago,13.10.2013,Men,Marathon
76,2:18:05,Sifan Hassan,NED,01.01.1993,4,Tokyo,03.03.2024,Women,Marathon
76,2:18:05,Genzebe Dibaba,ETH,08.02.1991,2,Amsterdam,16.10.2022,Women,Marathon
77,2:03:54,Amos Kipruto,KEN,16.09.1992,2,Chicago,12.10.2025,Men,Marathon
77,2:03:54,Guye Idemo Adola,ETH,20.10.1990,1,Rotterdam,12.04.2026,Men,Marathon
78,2:18:07,Joyciline Jepkosgei,KEN,28.12.1993,2,London,02.10.2022,Women,Marathon
79,2:18:08,Ruth Chepngetich,KEN,08.08.1994,1,Nagoya,12.03.2023,Women,Marathon
79,2:03:55,Reuben Kiprop Kipyego,KEN,21.08.1996,1,Milano,16.05.2021,Men,Marathon
80,2:03:58,Wilson Kipsang Kiprotich,KEN,15.03.1982,1,Tokyo,26.02.2017,Men,Marathon
80,2:18:09,Ruti Aga,ETH,16.01.1994,1,Dongying,22.10.2023,Women,Marathon
80,2:18:09,Ruti Aga,ETH,16.01.1994,2,Dubai,07.01.2024,Women,Marathon
81,2:03:59,Haile Gebrselassie,ETH,18.04.1973,1,Berlin,28.09.2008,Men,Marathon
81,2:03:59,Shura Kitata,ETH,09.06.1996,1,Sevilla,15.02.2026,Men,Marathon
81,2:03:59,Asrar Hiyrden,ETH,25.11.1999,2,Sevilla,15.02.2026,Men,Marathon
82,2:18:11,Gladys Cherono,KEN,12.05.1983,1,Berlin,16.09.2018,Women,Marathon
82,2:18:11,Gotytom Gebreslase,ETH,15.01.1995,1,Autzen Complex,18.07.2022,Women,Marathon
82,2:18:11,Fancy Chemutai,KEN,20.03.1995,5,Valencia,04.12.2022,Women,Marathon
84,2:04:00,Nibret Melak,ETH,09.10.1999,1,Dubai,01.02.2026,Men,Marathon
84,2:04:00,Vincent Kipkemoi Ngetich,KEN,03.01.1999,3,Tokyo,02.03.2025,Men,Marathon
84,2:04:00,Eliud Kipchoge,KEN,05.11.1984,1,Berlin,27.09.2015,Men,Marathon
84,2:04:00,Mosinet Geremew,ETH,12.02.1992,1,Dubai,26.01.2018,Men,Marathon
85,2:18:12,Sutume Asefa Kebede,ETH,11.12.1994,2,Seoul,17.04.2022,Women,Marathon
86,2:18:18,Ashete Bekere,ETH,17.04.1988,3,London,03.10.2021,Women,Marathon
86,2:18:18,Gotytom Gebreslase,ETH,15.01.1995,3,Tokyo,06.03.2022,Women,Marathon
88,2:04:01,Sisay Lemma,ETH,12.12.1990,1,London,03.10.2021,Men,Marathon
88,2:04:01,Alexander Munyao,KEN,10.09.1996,1,London,21.04.2024,Men,Marathon
88,2:04:01,Philemon Kiplimo,KEN,10.10.1998,2,Hamburg,27.04.2025,Men,Marathon
88,2:18:20,Brigid Kosgei,KEN,20.02.1994,1,London,28.04.2019,Women,Marathon
88,2:18:20,Judith Jeptum Korir,KEN,12.12.1995,2,Autzen Complex,18.07.2022,Women,Marathon
90,2:18:21,Meseret Belete,ETH,16.09.1999,1,Amsterdam,15.10.2023,Women,Marathon
91,2:18:22,Irine Chepet Cheptai,KEN,04.02.1992,1,Hamburg,28.04.2024,Women,Marathon
91,2:04:02,Benson Kipruto,KEN,17.03.1991,2,Chicago,08.10.2023,Men,Marathon
91,2:04:02,Leul Gebresilase,ETH,20.09.1992,2,Dubai,26.01.2018,Men,Marathon
92,2:18:24,Loice Chemnung,KEN,22.02.1997,4,Chicago,12.10.2025,Women,Marathon
93,2:18:25,Winfridah Moraa Moseti,KEN,10.02.1996,2,Hamburg,28.04.2024,Women,Marathon
93,2:18:25,Rebbeca Sirwanei Tanui,KEN,16.06.1992,2,Hamburg,26.04.2026,Women,Marathon
93,2:04:03,Amanal Petros,GER,17.05.1995,2,Valencia,07.12.2025,Men,Marathon
94,2:04:04,Marius Kipserem,KEN,17.05.1988,2,Rotterdam,24.10.2021,Men,Marathon
95,2:04:05,Eliud Kipchoge,KEN,05.11.1984,2,Berlin,29.09.2013,Men,Marathon
95,2:18:26,Stella Chesang,UGA,01.12.1996,2,Valencia,01.12.2024,Women,Marathon
95,2:18:26,Brigid Kosgei,KEN,20.02.1994,2,Hamburg,27.04.2025,Women,Marathon
96,2:04:06,Asefa Mengstu,ETH,12.01.1988,4,Dubai,26.01.2018,Men,Marathon
96,2:04:06,Tamirat Tola,ETH,11.08.1991,3,Dubai,26.01.2018,Men,Marathon
96,2:04:06,Lawrence Cherono,KEN,07.08.1988,1,Amsterdam,21.10.2018,Men,Marathon
97,2:18:27,Bedatu Hirpa,ETH,28.04.1999,1,Dubai,12.01.2025,Women,Marathon
98,2:18:29,Emily Sisson,USA,12.10.1991,2,Chicago,09.10.2022,Women,Marathon
99,2:18:30,Roza Dereje,ETH,09.05.1997,1,Valencia,01.12.2019,Women,Marathon
99,2:04:07,Muktar Edris,ETH,14.01.1994,5,Tokyo,01.03.2026,Men,Marathon
100,2:18:31,Tirunesh Dibaba,ETH,01.06.1985,1,Chicago,08.10.2017,Women,Marathon
100,2:04:08,Sisay Lemma,ETH,12.12.1990,5,Dubai,26.01.2018,Men,Marathon
100,2:18:31,Vivian Jepkemei Cheruiyot,KEN,11.09.1983,1,London,22.04.2018,Women,Marathon
100,2:18:31,Anchinalu Dessie,ETH,09.01.2003,1,Dubai,01.02.2026,Women,Marathon
101,2:04:09,Bernard Kiprop Koech,KEN,31.01.1988,2,Amsterdam,17.10.2021,Men,Marathon
101,2:04:09,Bernard Kiprop Koech,KEN,31.01.1988,1,Hamburg,23.04.2023,Men,Marathon
103,2:18:32,Dera Dida,ETH,26.10.1996,2,Dubai,12.01.2025,Women,Marathon
103,2:04:11,Tamirat Tola,ETH,11.08.1991,1,Dubai,20.01.2017,Men,Marathon
103,2:04:11,Eliud Kipchoge,KEN,05.11.1984,1,Chicago,12.10.2014,Men,Marathon
103,2:04:11,Marius Kipserem,KEN,17.05.1988,1,Rotterdam,07.04.2019,Men,Marathon
103,2:18:32,Megertu Alemu,ETH,12.10.1997,3,London,02.10.2022,Women,Marathon
105,2:18:33,Azmera Abreha,ETH,31.01.1998,2,Valencia,01.12.2019,Women,Marathon
105,2:18:33,Sifan Hassan,NED,01.01.1993,1,London,23.04.2023,Women,Marathon
106,2:04:12,Leul Gebresilase,ETH,20.09.1992,3,Amsterdam,17.10.2021,Men,Marathon
106,2:04:12,Reuben Kiprop Kipyego,KEN,21.08.1996,5,Valencia,06.12.2020,Men,Marathon
107,2:18:34,Ruti Aga,ETH,16.01.1994,2,Berlin,16.09.2018,Women,Marathon
107,2:18:34,Shure Demise,ETH,21.01.1996,1,Paris,12.04.2026,Women,Marathon
108,2:04:13,Tesfaye Deriba,ETH,11.09.1998,1,Barcelona,16.03.2025,Men,Marathon
109,2:18:35,Brigid Kosgei,KEN,20.02.1994,1,Chicago,07.10.2018,Women,Marathon
109,2:18:35,Ruth Chepngetich,KEN,08.08.1994,1,Istanbul,11.11.2018,Women,Marathon
109,2:18:35,Birhane Dibaba,ETH,11.09.1993,2,Tokyo,01.03.2020,Women,Marathon
109,2:04:14,Tamirat Tola,ETH,11.08.1991,3,Tokyo,06.03.2022,Men,Marathon
109,2:18:35,Tiruye Mesfin,ETH,11.09.2002,3,Valencia,01.12.2024,Women,Marathon
110,2:04:15,Dejene Hailu,ETH,29.12.2003,3,Sevilla,15.02.2026,Men,Marathon
110,2:04:15,Geoffrey Mutai,KEN,07.10.1981,1,Berlin,30.09.2012,Men,Marathon
110,2:04:15,Birhanu Legese,ETH,11.09.1994,6,Dubai,26.01.2018,Men,Marathon
110,2:04:15,Birhanu Legese,ETH,11.09.1994,1,Tokyo,01.03.2020,Men,Marathon
110,2:04:15,Tesfaye Deriba,ETH,11.09.1998,2,Rotterdam,12.04.2026,Men,Marathon
110,2:04:15,Kenenisa Bekele,ETH,13.06.1982,2,London,21.04.2024,Men,Marathon
113,2:18:37,Megertu Alemu,ETH,12.10.1997,2,London,23.04.2023,Women,Marathon
113,2:18:37,Mary Jepkosgei Keitany,KEN,18.01.1982,1,London,22.04.2012,Women,Marathon
115,2:18:38,Peres Jepchirchir,KEN,27.09.1993,3,London,23.04.2023,Women,Marathon
116,2:18:40,Brigid Kosgei,KEN,20.02.1994,4,London,03.10.2021,Women,Marathon
116,2:18:40,Joan Kilimo,KEN,01.01.2003,2,Barcelona,15.03.2026,Women,Marathon
116,2:18:40,Joyciline Jepkosgei,KEN,28.12.1993,2,Valencia,06.12.2020,Women,Marathon
116,2:04:16,Kaan Kigen Özbilen,TUR,15.01.1986,2,Valencia,01.12.2019,Men,Marathon
116,2:04:16,Dennis Kimetto,KEN,22.04.1984,2,Berlin,30.09.2012,Men,Marathon
118,2:04:17,Barnabas Kiptum,KEN,08.12.1986,2,Milano,16.05.2021,Men,Marathon
118,2:04:17,Eliud Kipchoge,KEN,05.11.1984,1,London,22.04.2018,Men,Marathon
119,2:18:41,Magdalena Shauri,TAN,25.02.1996,3,Berlin,24.09.2023,Women,Marathon
120,2:04:18,Tsegaye Getachew,ETH,30.11.1996,2,Amsterdam,19.10.2025,Men,Marathon
120,2:04:18,Vincent Kipkemoi Ngetich,KEN,03.01.1999,3,Tokyo,03.03.2024,Men,Marathon
120,2:18:42,Angela Tanui,KEN,27.07.1992,4,Tokyo,06.03.2022,Women,Marathon
121,2:18:43,Judith Jeptum Korir,KEN,12.12.1995,4,London,02.10.2022,Women,Marathon
121,2:18:43,Muliye Dekebo,ETH,13.03.1998,2,Dubai,01.02.2026,Women,Marathon
122,2:04:19,Getaneh Molla,ETH,10.01.1994,3,Amsterdam,19.10.2025,Men,Marathon
122,2:04:19,Kenenisa Bekele,ETH,13.06.1982,4,Valencia,03.12.2023,Men,Marathon
122,2:04:19,Bashir Abdi,BEL,10.02.1989,3,Rotterdam,12.04.2026,Men,Marathon
123,2:18:44,Joyciline Jepkosgei,KEN,28.12.1993,2,London,27.04.2025,Women,Marathon
124,2:18:45,Lonah Chemtai Salpeter,ISR,12.12.1988,2,Nagoya,13.03.2022,Women,Marathon
125,2:18:46,Birhane Dibaba,ETH,11.09.1993,3,Valencia,01.12.2019,Women,Marathon
125,2:18:46,Ruti Aga,ETH,16.01.1994,1,Xiamen,05.01.2025,Women,Marathon
125,2:04:20,Alexander Munyao,KEN,10.09.1996,3,London,27.04.2025,Men,Marathon
125,2:04:20,Abdi Nageeye,NED,02.03.1989,4,London,27.04.2025,Men,Marathon
127,2:04:21,Kenneth Kiprop Kipkemoi,KEN,02.08.1984,4,Rotterdam,12.04.2026,Men,Marathon
127,2:04:21,Elisha Rotich,KEN,12.04.1990,1,Paris,17.10.2021,Men,Marathon
127,2:18:47,Catherine Ndereba,KEN,21.07.1972,1,Chicago,07.10.2001,Women,Marathon
127,2:18:47,Tiruye Mesfin,ETH,11.09.2002,6,Valencia,04.12.2022,Women,Marathon
127,2:18:47,Zeineba Yimer,ETH,17.06.1998,3,Barcelona,15.03.2026,Women,Marathon
129,2:04:22,Ronald Korir,KEN,10.04.1991,4,Berlin,24.09.2023,Men,Marathon
129,2:04:22,Haftu Teklu,ETH,21.01.2000,1,Seoul,15.03.2026,Men,Marathon
130,2:18:48,Mestawut Fikir,ETH,02.03.2000,2,Berlin,29.09.2024,Women,Marathon
131,2:18:50,Megertu Alemu,ETH,12.10.1997,5,Tokyo,01.03.2026,Women,Marathon
131,2:04:23,Geoffrey Kamworor,KEN,22.11.1992,2,London,23.04.2023,Men,Marathon
131,2:04:23,Ayele Abshero,ETH,28.12.1990,1,Dubai,27.01.2012,Men,Marathon
131,2:04:23,Getaneh Molla,ETH,10.01.1994,2,Seoul,15.03.2026,Men,Marathon
132,2:18:51,Megertu Alemu,ETH,12.10.1997,1,Sevilla,20.02.2022,Women,Marathon
132,2:18:51,Sheila Chepkirui,KEN,27.12.1990,4,London,23.04.2023,Women,Marathon
132,2:18:51,Workenesh Edesa,ETH,11.09.1992,1,Osaka,28.01.2024,Women,Marathon
132,2:18:51,Irine Chepet Cheptai,KEN,04.02.1992,2,Shanghai,30.11.2025,Women,Marathon
132,2:18:51,Workenesh Edesa,ETH,11.09.1992,4,Berlin,25.09.2022,Women,Marathon
134,2:04:24,Asefa Mengstu,ETH,12.01.1988,3,Dubai,25.01.2019,Men,Marathon
